GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6025010102,402500012,6.07E+10,Grace Smith Elementary School,e,7,0.903,97,0.193548,0.0215054,0.741936,0.0215054,0.0215054,NA,5696.873,18690.53,0.7482185,0.01813863,0.000647808,0.8842583,0.5419255,0.04736025,NA,0.330741,0.6072607
6025010102,402500004,60699008804,Fremont Primary School,e,7,0.837,365,0.0666667,0.0213333,0.901333,0.00533333,0.00533333,NA,4989.635,16370.19,0.7482185,0.01813863,0.000647808,0.8842583,0.5419255,0.04736025,NA,0.330741,0.6072607
6025010102,402500004,6.07E+10,Calipatria High School,h,6,0.705,337,0.0833333,0.0238095,0.863095,0.01190476,0.0178571,NA,4547.258,14918.82,0.7482185,0.01813863,0.000647808,0.8842583,0.5419255,0.04736025,NA,0.330741,0.6072607
6025010200,402500032,64218006919,Westmorland Elementary School,"e,m",3,0.931,385,0.0550964,0.00826446,0.933884,0.00275482,NA,NA,9433.988,30951.4,0.7785944,0.02113,0.005052825,0.850712,0.5955143,0.1005414,NA,0.3541571,0.68125
6025010300,402500007,6.26E+10,Mulberry Elementary School,"e,m",8,0.524,91,0.357143,0.0238095,0.464286,0.0833334,0.0595238,NA,9482.585,31110.84,0.7699115,0,0.003933137,0.5919371,0.6065574,0.09687034,NA,0.1533923,0.85
6025010300,402500036,6.23E+10,Magnolia Elementary School,"e,m",7,0.209,131,0.567164,NA,0.410448,0.0149254,0.00746269,NA,8033.161,26355.52,0.7699115,0,0.003933137,0.5919371,0.6065574,0.09687034,NA,0.1533923,0.85
6025010400,402500007,6.06E+10,Brawley High School,h,6,0.676,1622,0.108683,0.00708801,0.8671,0.01004135,0.00413467,0.000590667,5214.734,17108.71,0.828033,0.0188457,0.000392619,0.9158487,0.6678107,0.1095857,25685,0.3759527,0.6192468
6025010400,402500007,6.06E+10,J. W. Oakley Elementary School,e,5,0.749,778,0.041958,0.00899101,0.94006,0.004995002,0.001998,NA,5109.883,16764.71,0.828033,0.0188457,0.000392619,0.9158487,0.6678107,0.1095857,25685,0.3759527,0.6192468
6025010500,402500007,6.06E+10,Desert Valley High (Continuation) School,h,3,0.69,170,0.0344828,NA,0.948276,0.0114943,0.00574713,NA,5132.528,16839,0.8344549,0.008823089,0.04516226,0.8020039,0.7365889,0.1121001,NA,0.2145393,0.8282443
6025010500,402500007,6.06E+10,Barbara Worth Junior High School,m,6,0.735,823,0.0657084,0.00821355,0.915811,0.00821355,0.00205339,NA,5451.279,17884.78,0.8344549,0.008823089,0.04516226,0.8020039,0.7365889,0.1121001,NA,0.2145393,0.8282443
6025010500,402500007,60582007095,Renaissance School,h,2,0.8,16,NA,NA,1,NA,NA,NA,5079.146,16663.87,0.8344549,0.008823089,0.04516226,0.8020039,0.7365889,0.1121001,NA,0.2145393,0.8282443
6025010500,402500007,60579008488,Phil D. Swing Elementary School,"e,m",3,0.704,732,0.0418552,0.0113122,0.94457,0.00226244,NA,NA,5329.822,17486.29,0.8344549,0.008823089,0.04516226,0.8020039,0.7365889,0.1121001,NA,0.2145393,0.8282443
6025010600,402500007,60579008487,Myron D. Witter Elementary School,e,5,0.687,749,0.0715789,0.00210526,0.923158,0.00210526,0.00105263,NA,6383.71,20943.93,0.8756952,0,0.002555238,0.6460244,0.8101662,0.2151289,NA,0.1007634,0.4033149
6025010700,402500007,6.06E+10,Miguel Hidalgo Elementary School,"e,m",5,0.636,643,0.0397644,0.00736377,0.936672,0.00736377,0.00441826,0.00147275,6236.539,20461.09,0.7280609,0.01712836,0,0.9494607,0.5651106,0.07827308,NA,0.3119053,0.8577586
6025010900,402500039,6.17E+10,Pine Elementary School,"e,m",4,0.695,179,0.311688,NA,0.662338,NA,0.025974,NA,8311.857,27269.87,0.7371767,0.004045658,0.01285941,0.7493137,0.5893266,0.1148666,NA,0.3633868,0.8527607
6025010900,402500039,6.17E+10,Sam Webb Continuation School,h,NA,0.667,17,0.0833333,NA,0.916667,NA,NA,NA,7121.845,23365.63,0.7371767,0.004045658,0.01285941,0.7493137,0.5893266,0.1148666,NA,0.3633868,0.8527607
6025010900,402500039,6.17E+10,Holtville High School,h,5,0.629,539,0.133333,0.00196078,0.858824,0.00196078,0.00392157,NA,7036.917,23087,0.7371767,0.004045658,0.01285941,0.7493137,0.5893266,0.1148666,NA,0.3633868,0.8527607
6025010900,402500039,6.17E+10,Holtville Junior High School,m,5,0.811,304,0.0728477,NA,0.900662,0.00662252,0.0198676,NA,6299.152,20666.51,0.7371767,0.004045658,0.01285941,0.7493137,0.5893266,0.1148666,NA,0.3633868,0.8527607
6025010900,402500039,6.17E+10,Emmett S. Finley Elementary School,e,4,0.779,557,0.0662983,0.00184162,0.922652,NA,0.0092081,NA,6120.412,20080.09,0.7371767,0.004045658,0.01285941,0.7493137,0.5893266,0.1148666,NA,0.3633868,0.8527607
6025011000,402500006,6.18E+10,Ben Hulse Elementary School,e,7,0.546,948,0.136797,0.0116649,0.822906,0.01908803,0.00742312,0.00106045,13292.8,43611.55,0.7904078,0.03604954,0.020904,0.7254871,0.8523292,0.1973419,NA,0.0757371,0.6513761
