Year, Month, Monthly MRSL in meters
2013,10,0.096
2013,11,0.01
2013,12,0.051
2014,1,0.06
2014,2,0.021
2014,3,0.047
2014,4,0.084
2014,5,0.123
2014,6,0.108
2014,7,0.084
2014,8,0.111
2014,9,0.086
2014,10,0.169
2014,11,0.081
2014,12,0.12
2015,1,0.047
2015,2,0.049
2015,3,-0.046
2015,4,0.04
2015,5,-0.003
2015,6,0.059
2015,7,0.141
2015,8,0.108
2015,9,0.103
2015,10,0.113
2015,11,0.037
2015,12,0.096
2016,1,0.143
2016,2,0.1
2016,3,0.091
2016,4,0.103
2016,5,0.086
2016,6,0.098
2016,7,0.101
2016,8,0.072
2016,9,0.104
2016,10,0.12
2016,11,0.098
2016,12,0.084
2017,1,0.112
2017,2,0.134
2017,3,0.021
2017,4,0.142
2017,5,0.188
2017,6,0.122
2017,7,0.1
2017,8,0.101
2017,9,0.141
2017,10,0.083
2017,11,0.092
2017,12,0.044
2018,1,0.023
2018,2,0.009
2018,3,0.284
2018,4,0.093
2018,5,0.085
2018,6,0.13
2018,7,0.078
2018,8,0.136
2018,9,0.143
2018,10,0.133
2018,11,0.105
2018,12,0.131
2019,1,0.136
2019,2,0.049
2019,3,0.083
2019,4,0.084
2019,5,0.16
2019,6,0.143
2019,7,0.159
2019,8,0.14
2019,9,0.124
2019,10,0.202
2019,11,0.136
2019,12,0.147
